eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,61,9,-130914.786678,1.027665e-10,4,4,3.5,e,-2.5,+1,1,1,1.5,f,-0.5,+1
sigma+,sigma-,62,10,-130914.639089,3.322274e-11,4,4,3.5,e,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,63,11,-130914.489483,6.446435e-12,4,4,3.5,e,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,116,44,-130912.110434,9.550607e-02,5,5,5.5,e,-5.5,-1,3,3,3.5,e,-3.5,-1
sigma+,sigma-,117,45,-130912.087331,6.091949e-02,5,5,5.5,e,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,118,46,-130912.064170,3.663641e-02,5,5,5.5,e,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,119,47,-130912.040950,2.040006e-02,5,5,5.5,e,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,120,48,-130912.017673,1.022300e-02,5,5,5.5,e,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,121,49,-130911.994340,4.391016e-03,5,5,5.5,e,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,122,50,-130911.970952,1.466878e-03,5,5,5.5,e,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,123,51,-130911.947510,2.940092e-04,5,5,5.5,e,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,96,32,-130909.882928,8.987723e-02,5,5,4.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,97,33,-130909.842407,4.983329e-02,5,5,4.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,98,34,-130909.801945,2.486821e-02,5,5,4.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,99,35,-130909.761540,1.063738e-02,5,5,4.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,100,36,-130909.721192,3.539099e-03,5,5,4.5,e,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,101,37,-130909.680899,7.065022e-04,5,5,4.5,e,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,117,32,-130906.369438,6.801154e-08,5,5,5.5,e,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,118,33,-130906.314408,6.770773e-08,5,5,5.5,e,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,119,34,-130906.259495,4.493411e-08,5,5,5.5,e,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,120,35,-130906.204699,2.236405e-08,5,5,5.5,e,-1.5,-1,3,3,2.5,e,+0.5,-1
