eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,69,47,-58240.878691,2.568253e-03,4,4,3.5,f,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,70,48,-58240.877733,3.407567e-03,4,4,3.5,f,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,71,49,-58240.876744,3.390972e-03,4,4,3.5,f,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,72,50,-58240.875724,2.530914e-03,4,4,3.5,f,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,73,51,-58240.874673,1.175406e-03,4,4,3.5,f,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,86,45,-58236.486745,2.850040e-02,4,4,4.5,f,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,87,46,-58236.476507,3.805843e-02,4,4,4.5,f,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,88,47,-58236.466257,3.573372e-02,4,4,4.5,f,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,89,48,-58236.455995,2.726653e-02,4,4,4.5,f,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,90,49,-58236.445722,1.706695e-02,4,4,4.5,f,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,91,50,-58236.435438,8.204235e-03,4,4,4.5,f,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,92,51,-58236.425142,2.396409e-03,4,4,4.5,f,+1.5,-1,3,3,3.5,e,+3.5,-1
