eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,62,14,-101818.104653,1.066746e-02,4,4,3.5,e,-1.5,+1,2,2,1.5,e,+0.5,+1
sigma+,sigma-,63,15,-101818.056201,2.129884e-03,4,4,3.5,e,-0.5,+1,2,2,1.5,e,+1.5,+1
sigma+,sigma-,77,12,-101813.800831,4.537250e-10,4,4,4.5,e,-3.5,+1,2,2,1.5,e,-1.5,+1
sigma+,sigma-,78,13,-101813.742302,3.607000e-10,4,4,4.5,e,-2.5,+1,2,2,1.5,e,-0.5,+1
sigma+,sigma-,79,14,-101813.683849,1.634067e-10,4,4,4.5,e,-1.5,+1,2,2,1.5,e,+0.5,+1
sigma+,sigma-,80,15,-101813.625472,3.828726e-11,4,4,4.5,e,-0.5,+1,2,2,1.5,e,+1.5,+1
sigma+,sigma-,113,85,-72811.385228,3.017864e-03,5,5,4.5,f,+2.5,+1,4,4,4.5,e,+4.5,+1
sigma+,sigma-,112,84,-72811.385208,7.069447e-03,5,5,4.5,f,+1.5,+1,4,4,4.5,e,+3.5,+1
sigma+,sigma-,111,83,-72811.385171,1.064618e-02,5,5,4.5,f,+0.5,+1,4,4,4.5,e,+2.5,+1
sigma+,sigma-,110,82,-72811.385117,1.272447e-02,5,5,4.5,f,-0.5,+1,4,4,4.5,e,+1.5,+1
sigma+,sigma-,109,81,-72811.385046,1.277537e-02,5,5,4.5,f,-1.5,+1,4,4,4.5,e,+0.5,+1
sigma+,sigma-,108,80,-72811.384958,1.077444e-02,5,5,4.5,f,-2.5,+1,4,4,4.5,e,-0.5,+1
sigma+,sigma-,107,79,-72811.384852,7.211968e-03,5,5,4.5,f,-3.5,+1,4,4,4.5,e,-1.5,+1
sigma+,sigma-,106,78,-72811.384729,3.103387e-03,5,5,4.5,f,-4.5,+1,4,4,4.5,e,-2.5,+1
sigma+,sigma-,128,77,-72807.843523,1.491447e-01,5,5,5.5,f,-5.5,+1,4,4,4.5,e,-3.5,+1
sigma+,sigma-,129,78,-72807.836985,2.171527e-01,5,5,5.5,f,-4.5,+1,4,4,4.5,e,-2.5,+1
sigma+,sigma-,130,79,-72807.830442,2.282349e-01,5,5,5.5,f,-3.5,+1,4,4,4.5,e,-1.5,+1
